url_length,dot_count,has_at_symbol,has_https,has_sensitive_word,is_suspicious_tld,has_hyphens,is_known_legit,is_known_brand,label
3.4657359027997265,4,0,0,0,0,0,0,0,1
4.1588830833596715,5,0,0,0,0,0,0,0,1
2.6390573296152584,2,0,0,0,0,0,0,0,1
4.543294782270004,1,0,0,0,0,1,0,0,0
2.6390573296152584,1,0,0,0,0,0,0,0,1
3.332204510175204,2,0,0,0,0,0,0,1,0
3.5263605246161616,1,0,0,0,0,0,0,0,0
3.6375861597263857,3,0,0,0,0,1,0,1,0
3.7612001156935624,1,0,0,0,0,0,0,1,0
3.6635616461296463,2,0,0,0,0,1,0,0,1
3.6375861597263857,2,0,0,0,0,0,0,0,0
3.4339872044851463,1,0,1,0,0,0,0,0,1
3.784189633918261,4,0,1,1,0,0,0,0,1
4.174387269895637,2,0,0,0,0,0,0,1,0
3.4011973816621555,2,0,0,0,0,0,0,0,0
3.4657359027997265,1,0,0,0,0,0,0,1,0
2.772588722239781,1,0,0,0,0,0,0,0,0
4.189654742026425,4,0,0,0,0,0,0,0,0
4.48863636973214,3,0,0,0,0,1,0,0,1
4.31748811353631,2,0,0,0,0,1,0,0,0
3.295836866004329,3,0,1,0,0,0,0,0,1
3.5263605246161616,2,0,0,0,0,0,0,0,1
4.290459441148391,2,0,0,0,0,1,0,0,0
3.367295829986474,1,0,0,0,0,0,0,0,0
4.499809670330265,4,1,0,0,0,0,0,1,1
2.8903717578961645,1,0,0,0,0,0,0,0,0
4.477336814478207,2,0,0,0,0,1,0,0,0
2.995732273553991,1,0,0,0,0,0,0,0,1
4.356708826689592,2,0,1,0,0,1,0,0,0
3.4657359027997265,2,0,0,0,0,0,0,0,1
3.4965075614664802,3,0,0,0,0,0,0,0,1
4.394449154672439,3,0,1,0,0,1,0,0,0
3.9889840465642745,2,0,0,0,0,1,0,1,0
3.4011973816621555,2,0,0,0,0,0,0,1,1
3.6635616461296463,1,0,0,0,0,1,0,0,0
3.4339872044851463,1,0,0,0,0,0,0,0,0
3.58351893845611,3,0,0,0,0,0,0,0,1
3.4657359027997265,1,0,0,0,0,0,0,1,0
4.248495242049359,2,0,0,0,0,0,0,1,0
3.4339872044851463,2,0,1,0,0,0,0,0,1
4.04305126783455,1,0,0,1,0,1,0,0,1
3.6375861597263857,2,0,0,0,0,0,0,1,1
3.044522437723423,1,0,1,0,0,1,0,0,1
4.07753744390572,3,0,0,0,0,1,0,0,0
3.367295829986474,2,0,0,0,0,0,0,0,0
3.044522437723423,1,0,0,0,0,0,0,0,0
3.58351893845611,3,0,0,0,0,0,0,0,1
3.2188758248682006,2,0,0,0,0,0,0,1,1
3.258096538021482,2,0,0,0,0,0,0,0,0
3.4011973816621555,2,0,1,0,0,0,0,0,1
4.8283137373023015,3,0,0,0,0,1,0,0,0
3.4965075614664802,2,0,0,0,0,0,0,1,0
3.5553480614894135,2,0,0,0,0,0,0,0,1
3.58351893845611,2,0,0,0,0,0,0,0,0
4.564348191467836,2,0,0,0,0,0,0,0,0
4.919980925828125,1,0,0,0,0,1,0,0,0
2.6390573296152584,1,0,0,0,0,0,0,0,1
3.6375861597263857,2,0,0,0,0,0,0,1,0
3.091042453358316,2,0,0,0,0,0,0,0,1
4.23410650459726,1,0,0,0,0,1,0,1,0
3.4657359027997265,2,0,0,0,0,0,0,1,1
3.8501476017100584,2,0,0,0,0,0,0,1,0
4.48863636973214,6,0,0,1,0,0,0,0,1
3.784189633918261,2,0,1,0,0,0,0,0,1
4.912654885736052,3,0,0,0,0,0,0,0,1
4.060443010546419,3,0,0,0,0,1,0,0,0
3.2188758248682006,3,0,0,0,0,0,0,0,0
3.6109179126442243,2,0,0,0,0,0,0,0,0
3.4339872044851463,2,0,0,0,0,1,0,0,1
3.58351893845611,1,0,0,0,0,0,0,0,1
3.4011973816621555,2,0,1,1,0,1,0,0,1
4.1588830833596715,3,0,0,0,0,1,0,0,0
4.882801922586371,2,0,0,0,0,0,0,0,0
4.290459441148391,1,0,1,0,0,1,0,0,0
3.4339872044851463,2,0,0,0,0,0,0,0,1
3.258096538021482,2,0,0,0,0,0,0,0,0
3.5553480614894135,4,0,1,0,0,1,0,0,1
3.6109179126442243,4,0,0,0,0,0,0,0,1
2.8903717578961645,1,0,0,0,0,0,0,0,0
4.110873864173311,2,0,0,0,0,0,0,0,0
2.995732273553991,2,0,0,0,0,0,0,0,1
3.5553480614894135,1,0,1,0,0,0,0,0,0
3.6375861597263857,1,0,0,0,0,1,0,1,0
3.7376696182833684,1,0,0,0,0,1,0,0,0
3.044522437723423,1,0,1,0,0,0,0,1,1
3.4011973816621555,2,0,1,0,0,0,0,0,1
4.127134385045092,1,0,0,0,0,0,0,0,1
3.367295829986474,1,0,0,0,0,0,0,0,0
4.3694478524670215,2,0,0,0,0,1,0,0,0
3.713572066704308,3,0,0,0,0,0,0,0,0
3.871201010907891,2,0,0,0,0,0,0,0,1
4.51085950651685,3,0,0,0,0,1,0,0,0
4.127134385045092,3,0,0,0,0,0,0,0,1
3.7376696182833684,1,0,0,0,0,1,0,1,0
4.5217885770490405,5,0,1,0,0,0,0,1,0
3.2188758248682006,2,0,0,0,0,0,0,0,1
3.4011973816621555,2,0,0,0,0,0,0,1,0
3.784189633918261,3,0,1,0,0,1,0,0,1
3.970291913552122,2,1,1,0,0,1,0,0,1
3.6635616461296463,3,0,0,0,0,0,0,0,1
3.6109179126442243,2,0,0,0,0,0,0,0,0
3.828641396489095,5,0,1,0,0,0,0,0,1
4.04305126783455,2,0,0,0,0,0,0,0,0
3.58351893845611,3,0,0,0,0,0,0,0,0
4.418840607796598,3,0,0,0,0,0,0,0,0
2.772588722239781,1,0,0,0,0,0,0,0,0
